S.No,Health Unit District,Session planned for Covishield,Session held for Covishield,Achievement towards vaccination of 1st Dosage Covishield to HCW,Achievement towards vaccination of 2nd Dosage Covishield to HCW,Achievement towards vaccination of 1st Dosage Covishield to FLW,Achievement towards vaccination of 2nd Dosage Covishield to FLW,Achievement towards vaccination of 1st Dosage Covishield to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 2nd Dosage Covishield to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 1st Dosage Covishield to beneficiaries of 45 years and less than 60 years age group,Achievement towards vaccination of 2nd Dosage Covishield to beneficiaries of 45 years and less than 60 years age group,Achievement towards vaccination of 1st Dosage Covishield to 60+ years beneficiaries,Achievement towards vaccination of 2nd Dosage Covishield to 60+ years beneficiaries,Total Achievement of vaccination to beneficiaries under 1st Dose of Covishield,Total Achievement of vaccination to beneficiaries under 2nd Dose of Covishield,Session planned for Covaxin,Session held for Covaxin,Achievement towards vaccination of 1st Dosage Covaxin to HCW,Achievement towards vaccination of 2nd Dosage Covaxin to HCW,Achievement towards vaccination of 1st Dosage Covaxin to FLW,Achievement towards vaccination of 2nd Dosage Covaxin to FLW,Achievement towards vaccination of 1st Dosage Covaxin to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 2nd Dosage Covaxin to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 1st Dosage Covaxin to beneficiaries of 45 years and less than 60 years age group,Achievement towards vaccination of 2nd Dosage Covaxin to beneficiaries of 45 years and less than 60 years age group,Achievement towards vaccination of 1st Dosage Covaxin to 60+ years beneficiaries,Achievement towards vaccination of 2nd Dosage Covaxin to 60+ years beneficiaries,Total Achievement of vaccination to beneficiaries under 1st Dose of Covaxin,Total Achievement of vaccination to beneficiaries under 2nd Dose of Covaxin,Total Session planned for Covishield and Covaxin,Total Session held for Covishield and Covaxin,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to HCW,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to HCW,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to FLW,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to FLW,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to beneficiaries of 18 years and less than 44 years age group,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to beneficiaries of 18 years and less than 44 years age group,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to beneficiaries of 45 years and less than 60 years age group,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to beneficiaries of 45 years and less than 60 years age group,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to 60+ years beneficiaries,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to 60+ years beneficiaries,Total Achievement towards vaccination to beneficiaries under 1st Dose of Covishield and Covaxin,Total Achievement towards vaccination to beneficiaries under 2nd Dose of Covishield and Covaxin,Total Achievement towards vaccination of Covishield and Covaxin (1st and 2nd Dose)
1,Aranthangi,41,41,0,0,0,0,409,1867,41,115,4,20,454,2002,6,6,0,0,0,0,5,10,0,0,0,0,5,10,47,47,0,0,0,0,414,1877,41,115,4,20,459,2012,2471
2,Ariyalur,66,66,0,0,0,0,169,610,240,952,143,388,552,1950,7,7,0,0,0,0,0,12,2,111,48,327,50,450,73,73,0,0,0,0,169,622,242,1063,191,715,602,2400,3002
3,Attur,16,16,0,0,0,0,1117,2297,0,152,526,615,1643,3064,8,8,0,0,0,0,295,461,0,14,54,19,349,494,24,24,0,0,0,0,1412,2758,0,166,580,634,1992,3558,5550
4,Chengalpet,51,51,1,4,0,0,1268,2816,464,1449,159,1027,1892,5296,20,20,2,1,0,0,340,216,134,121,77,215,553,553,71,71,3,5,0,0,1608,3032,598,1570,236,1242,2445,5849,8294
5,Chennai,50,50,0,0,43,112,1089,1896,411,506,78,115,1621,2629,40,40,0,0,10,2,482,612,141,168,27,46,660,828,90,90,0,0,53,114,1571,2508,552,674,105,161,2281,3457,5738
6,Cheyyar,48,48,0,0,0,0,853,947,369,314,407,377,1629,1638,48,48,0,0,0,0,167,184,121,119,90,44,378,347,96,96,0,0,0,0,1020,1131,490,433,497,421,2007,1985,3992
7,Coimbatore,110,110,0,1,0,1,433,2975,297,1644,371,975,1101,5596,110,110,0,0,0,1,99,291,75,263,82,151,256,706,220,220,0,1,0,2,532,3266,372,1907,453,1126,1357,6302,7659
8,Cuddalore,80,80,0,3,0,0,6038,6118,0,1947,1964,2410,8002,10478,12,12,0,0,0,0,720,1571,0,207,103,186,823,1964,92,92,0,3,0,0,6758,7689,0,2154,2067,2596,8825,12442,21267
9,Dharmapuri,56,56,0,0,0,0,1365,4817,920,2523,456,1037,2741,8377,56,56,0,0,0,0,534,441,323,177,183,88,1040,706,112,112,0,0,0,0,1899,5258,1243,2700,639,1125,3781,9083,12864
10,Dindigul,55,55,0,1,0,1,3066,2196,1915,1363,1294,815,6275,4376,5,5,0,0,0,0,176,54,92,37,25,8,293,99,60,60,0,1,0,1,3242,2250,2007,1400,1319,823,6568,4475,11043
11,Erode,60,60,0,0,0,0,1574,2362,1035,1553,286,429,2895,4344,10,10,0,0,0,0,236,353,190,285,84,126,510,764,70,70,0,0,0,0,1810,2715,1225,1838,370,555,3405,5108,8513
12,Kallakurichi,50,50,0,0,0,0,2192,2578,1299,1507,665,652,4156,4737,10,10,0,0,0,0,112,127,73,77,46,48,231,252,60,60,0,0,0,0,2304,2705,1372,1584,711,700,4387,4989,9376
13,Kanchipuram,31,31,6,8,6,8,203,3281,89,973,26,231,330,4501,4,4,3,3,3,4,80,60,14,9,5,5,105,81,35,35,9,11,9,12,283,3341,103,982,31,236,435,4582,5017
14,Karur,19,19,0,0,0,0,1633,1255,398,1093,413,412,2444,2760,3,3,0,0,0,0,1,6,3,8,0,2,4,16,22,22,0,0,0,0,1634,1261,401,1101,413,414,2448,2776,5224
